,CTC_Apus_melba,Collocalia_troglodytes,09NC56_Collocalia_uropygialis,DHC88_Collocalia_esculenta,DHC77_Aerodramus_bartschi,DHC01_Aerodramus_vanikorensis_palawensis,DHC06_Aerodramus_vanikorensis_palawensis,DHC31_Aerodramus_spodiopygius_spodiopygius,DHC66_Aerodramus_brevirostris_vulcanorum,CMNH37000_Aerodramus_whiteheadi,MC10-01_Aerodramus_sawtelli,MC10-02_Aerodramus_sawtelli,14-F2_Aerodramus_spodiopygius_assimilis,DHC39_Aerodramus_spodiopygius_assimilis,DHC36_Aerodramus_spodiopygius_assimilis,DHC37_Aerodramus_spodiopygius_assimilis,DHC04_Aerodramus_fuciphagus_germani,DHC03_Aerodramus_maximus,DHC40_Aerodramus_fuciphagus_vestitus,DMT027_Aerodramus_fuciphagus_vestitus,DMT048_Aerodramus_salangana_natunae,EP52-03_Aerodramus_sororum,DMT040_Aerodramus_maximus,09NC38_Aerodramus_spodiopygius_leucopygius,09NC39_Aerodramus_spodiopygius_leucopygius,JBF08-96_Aerodramus_spodiopygius_leucopygius,DHC20_Aerodramus_terraereginae,DMT002_Aerodramus_salangana_natunae,DMT047_Aerodramus_salangana_natunae,EP52-01_Aerodramus_sororum,EP52-02_Aerodramus_sororum,AC10-04_Aerodramus_ocistus_ocistus,AC05-01_Aerodramus_leucophaeus,AC09-S3_Aerodramus_leucophaeus,M2049_Aerodramus_brevirostris,M2123_Aerodramus_brevirostris,DHC120_Aerodramus_maximus,DHC28_Aerodramus_terraereginae,DHC30_Aerodramus_terraereginae,AC10-07_Aerodramus_ocistus_ocistus,DHC60_Aerodramus_elaphrus,DMT042_Aerodramus_maximus,DHC117_Aerodramus_maximus,AC10-02_Aerodramus_ocistus_ocistus,DHC59_Aerodramus_elaphrus,EPAL2_Aerodramus_elaphrus,DHC61_Aerodramus_elaphrus,Mauritius_BWM83_Aerodramus_francicus,Reunion_LC8_Aerodramus_francicus,AC09-09_Aerodramus_ocistus_ocistus,AC10-01_Aerodramus_ocistus_ocistus,Mauritius_BWM80_Aerodramus_francicus,Mauritius_DHC53_Aerodramus_francicus,Mauritius_BWM82_Aerodramus_francicus,Mauritius_BWM85_Aerodramus_francicus,Mauritius_BWM89_Aerodramus_francicus,Mauritius_DHC52_Aerodramus_francicus,Reunion_CDS2117_Aerodramus_francicus,Reunion_LC2_Aerodramus_francicus,Reunion_LC6_Aerodramus_francicus,Reunion_SEOR1_Aerodramus_francicus,Reunion_SEOR4_Aerodramus_francicus,Reunion_SEOR5_Aerodramus_francicus,Mauritius_BWM81_Aerodramus_francicus,Mauritius_BWM88_Aerodramus_francicus,Reunion_CDS2036_Aerodramus_francicus,Reunion_LC3_Aerodramus_francicus
AC10-04_Aerodramus_ocistus_ocistus,0.163424,0.164136,0.147331,0.159861,0.060353,0.057373,0.057373,0.055719,0.116971,0.109555,0.059078,0.059078,0.063862,0.062560,0.054503,0.054420,0.047685,0.100684,0.044384,0.044798,0.047322,0.051234,0.101404,0.106375,0.106766,0.105817,0.101496,0.047322,0.047322,0.050293,0.050293,0.000000,0.026215,0.026215,0.047473,0.047473,0.101457,0.102958,0.102947,0.003460,0.048443,0.101878,0.101562,0.003764,0.047485,0.047489,0.047483,0.050702,0.048984,0.005686,0.004745,0.050751,0.050751,0.050746,0.050743,0.050742,0.050741,0.048903,0.048903,0.048902,0.048902,0.048902,0.048902,0.050785,0.050777,0.048904,0.048912
AC05-01_Aerodramus_leucophaeus,0.160729,0.161441,0.144636,0.157166,0.057658,0.054678,0.054678,0.053024,0.114276,0.106860,0.056383,0.056383,0.061167,0.059865,0.051808,0.051725,0.044990,0.097989,0.041689,0.042103,0.044627,0.048539,0.098709,0.103680,0.104071,0.103122,0.098801,0.044627,0.044627,0.047598,0.047598,0.026215,0.000000,0.000000,0.044778,0.044778,0.098762,0.100263,0.100252,0.024411,0.045748,0.099183,0.098867,0.024715,0.044790,0.044794,0.044788,0.048007,0.046289,0.026637,0.025696,0.048056,0.048056,0.048051,0.048048,0.048047,0.048046,0.046208,0.046208,0.046207,0.046207,0.046207,0.046207,0.048090,0.048082,0.046209,0.046217
AC09-S3_Aerodramus_leucophaeus,0.160729,0.161441,0.144636,0.157166,0.057658,0.054678,0.054678,0.053024,0.114276,0.106860,0.056383,0.056383,0.061167,0.059865,0.051808,0.051725,0.044990,0.097989,0.041689,0.042103,0.044627,0.048539,0.098709,0.103680,0.104071,0.103122,0.098801,0.044627,0.044627,0.047598,0.047598,0.026215,0.000000,0.000000,0.044778,0.044778,0.098762,0.100263,0.100252,0.024411,0.045748,0.099183,0.098867,0.024715,0.044790,0.044794,0.044788,0.048007,0.046289,0.026637,0.025696,0.048056,0.048056,0.048051,0.048048,0.048047,0.048046,0.046208,0.046208,0.046207,0.046207,0.046207,0.046207,0.048090,0.048082,0.046209,0.046217
M2049_Aerodramus_brevirostris,0.160641,0.161353,0.144548,0.157078,0.057570,0.054590,0.054590,0.052936,0.114188,0.106772,0.056295,0.056295,0.061079,0.059777,0.051720,0.051637,0.044902,0.097901,0.041601,0.042015,0.044539,0.048451,0.098621,0.103592,0.103983,0.103034,0.098713,0.044539,0.044539,0.047510,0.047510,0.047473,0.044778,0.044778,0.000000,0.000000,0.098674,0.100175,0.100164,0.045669,0.026526,0.099095,0.098779,0.045973,0.025568,0.025572,0.025566,0.028785,0.027067,0.047895,0.046954,0.028834,0.028834,0.028829,0.028826,0.028825,0.028824,0.026986,0.026986,0.026985,0.026985,0.026985,0.026985,0.028868,0.028860,0.026987,0.026995
M2123_Aerodramus_brevirostris,0.160641,0.161353,0.144548,0.157078,0.057570,0.054590,0.054590,0.052936,0.114188,0.106772,0.056295,0.056295,0.061079,0.059777,0.051720,0.051637,0.044902,0.097901,0.041601,0.042015,0.044539,0.048451,0.098621,0.103592,0.103983,0.103034,0.098713,0.044539,0.044539,0.047510,0.047510,0.047473,0.044778,0.044778,0.000000,0.000000,0.098674,0.100175,0.100164,0.045669,0.026526,0.099095,0.098779,0.045973,0.025568,0.025572,0.025566,0.028785,0.027067,0.047895,0.046954,0.028834,0.028834,0.028829,0.028826,0.028825,0.028824,0.026986,0.026986,0.026985,0.026985,0.026985,0.026985,0.028868,0.028860,0.026987,0.026995
DHC120_Aerodramus_maximus,0.139047,0.139759,0.122954,0.135484,0.092356,0.089376,0.089376,0.087722,0.063836,0.073832,0.091081,0.091081,0.095865,0.094563,0.086506,0.086423,0.093402,0.001003,0.090101,0.090515,0.093039,0.096951,0.001533,0.070652,0.071043,0.070094,0.065773,0.093039,0.093039,0.096010,0.096010,0.101457,0.098762,0.098762,0.098674,0.098674,0.000000,0.067235,0.067224,0.099653,0.099644,0.001873,0.001557,0.099957,0.098686,0.098690,0.098684,0.101903,0.100185,0.101879,0.100938,0.101952,0.101952,0.101947,0.101944,0.101943,0.101942,0.100104,0.100104,0.100103,0.100103,0.100103,0.100103,0.101986,0.101978,0.100105,0.100113
DHC28_Aerodramus_terraereginae,0.140548,0.141260,0.124455,0.136985,0.093857,0.090877,0.090877,0.089223,0.082749,0.068397,0.092582,0.092582,0.097366,0.096064,0.088007,0.087924,0.094903,0.066462,0.091602,0.092016,0.094540,0.098452,0.067182,0.037371,0.037762,0.036813,0.001528,0.094540,0.094540,0.097511,0.097511,0.102958,0.100263,0.100263,0.100175,0.100175,0.067235,0.000000,0.000637,0.101154,0.101145,0.067656,0.067340,0.101458,0.100187,0.100191,0.100185,0.103404,0.101686,0.103380,0.102439,0.103453,0.103453,0.103448,0.103445,0.103444,0.103443,0.101605,0.101605,0.101604,0.101604,0.101604,0.101604,0.103487,0.103479,0.101606,0.101614
DHC30_Aerodramus_terraereginae,0.140537,0.141249,0.124444,0.136974,0.093846,0.090866,0.090866,0.089212,0.082738,0.068386,0.092571,0.092571,0.097355,0.096053,0.087996,0.087913,0.094892,0.066451,0.091591,0.092005,0.094529,0.098441,0.067171,0.037360,0.037751,0.036802,0.001517,0.094529,0.094529,0.097500,0.097500,0.102947,0.100252,0.100252,0.100164,0.100164,0.067224,0.000637,0.000000,0.101143,0.101134,0.067645,0.067329,0.101447,0.100176,0.100180,0.100174,0.103393,0.101675,0.103369,0.102428,0.103442,0.103442,0.103437,0.103434,0.103433,0.103432,0.101594,0.101594,0.101593,0.101593,0.101593,0.101593,0.103476,0.103468,0.101595,0.101603
AC10-07_Aerodramus_ocistus_ocistus,0.161620,0.162332,0.145527,0.158057,0.058549,0.055569,0.055569,0.053915,0.115167,0.107751,0.057274,0.057274,0.062058,0.060756,0.052699,0.052616,0.045881,0.098880,0.042580,0.042994,0.045518,0.049430,0.099600,0.104571,0.104962,0.104013,0.099692,0.045518,0.045518,0.048489,0.048489,0.003460,0.024411,0.024411,0.045669,0.045669,0.099653,0.101154,0.101143,0.000000,0.046639,0.100074,0.099758,0.000304,0.045681,0.045685,0.045679,0.048898,0.047180,0.002226,0.001285,0.048947,0.048947,0.048942,0.048939,0.048938,0.048937,0.047099,0.047099,0.047098,0.047098,0.047098,0.047098,0.048981,0.048973,0.047100,0.047108
DHC60_Aerodramus_elaphrus,0.161611,0.162323,0.145518,0.158048,0.058540,0.055560,0.055560,0.053906,0.115158,0.107742,0.057265,0.057265,0.062049,0.060747,0.052690,0.052607,0.045872,0.098871,0.042571,0.042985,0.045509,0.049421,0.099591,0.104562,0.104953,0.104004,0.099683,0.045509,0.045509,0.048480,0.048480,0.048443,0.045748,0.045748,0.026526,0.026526,0.099644,0.101145,0.101134,0.046639,0.000000,0.100065,0.099749,0.046943,0.004610,0.004614,0.004608,0.008603,0.006885,0.048865,0.047924,0.008652,0.008652,0.008647,0.008644,0.008643,0.008642,0.006804,0.006804,0.006803,0.006803,0.006803,0.006803,0.008686,0.008678,0.006805,0.006813
DMT042_Aerodramus_maximus,0.139468,0.140180,0.123375,0.135905,0.092777,0.089797,0.089797,0.088143,0.064257,0.074253,0.091502,0.091502,0.096286,0.094984,0.086927,0.086844,0.093823,0.001424,0.090522,0.090936,0.093460,0.097372,0.001954,0.071073,0.071464,0.070515,0.066194,0.093460,0.093460,0.096431,0.096431,0.101878,0.099183,0.099183,0.099095,0.099095,0.001873,0.067656,0.067645,0.100074,0.100065,0.000000,0.001714,0.100378,0.099107,0.099111,0.099105,0.102324,0.100606,0.102300,0.101359,0.102373,0.102373,0.102368,0.102365,0.102364,0.102363,0.100525,0.100525,0.100524,0.100524,0.100524,0.100524,0.102407,0.102399,0.100526,0.100534
DHC117_Aerodramus_maximus,0.139152,0.139864,0.123059,0.135589,0.092461,0.089481,0.089481,0.087827,0.063941,0.073937,0.091186,0.091186,0.095970,0.094668,0.086611,0.086528,0.093507,0.001108,0.090206,0.090620,0.093144,0.097056,0.001638,0.070757,0.071148,0.070199,0.065878,0.093144,0.093144,0.096115,0.096115,0.101562,0.098867,0.098867,0.098779,0.098779,0.001557,0.067340,0.067329,0.099758,0.099749,0.001714,0.000000,0.100062,0.098791,0.098795,0.098789,0.102008,0.100290,0.101984,0.101043,0.102057,0.102057,0.102052,0.102049,0.102048,0.102047,0.100209,0.100209,0.100208,0.100208,0.100208,0.100208,0.102091,0.102083,0.100210,0.100218
AC10-02_Aerodramus_ocistus_ocistus,0.161924,0.162636,0.145831,0.158361,0.058853,0.055873,0.055873,0.054219,0.115471,0.108055,0.057578,0.057578,0.062362,0.061060,0.053003,0.052920,0.046185,0.099184,0.042884,0.043298,0.045822,0.049734,0.099904,0.104875,0.105266,0.104317,0.099996,0.045822,0.045822,0.048793,0.048793,0.003764,0.024715,0.024715,0.045973,0.045973,0.099957,0.101458,0.101447,0.000304,0.046943,0.100378,0.100062,0.000000,0.045985,0.045989,0.045983,0.049202,0.047484,0.001922,0.000981,0.049251,0.049251,0.049246,0.049243,0.049242,0.049241,0.047403,0.047403,0.047402,0.047402,0.047402,0.047402,0.049285,0.049277,0.047404,0.047412
DHC59_Aerodramus_elaphrus,0.160653,0.161365,0.144560,0.157090,0.057582,0.054602,0.054602,0.052948,0.114200,0.106784,0.056307,0.056307,0.061091,0.059789,0.051732,0.051649,0.044914,0.097913,0.041613,0.042027,0.044551,0.048463,0.098633,0.103604,0.103995,0.103046,0.098725,0.044551,0.044551,0.047522,0.047522,0.047485,0.044790,0.044790,0.025568,0.025568,0.098686,0.100187,0.100176,0.045681,0.004610,0.099107,0.098791,0.045985,0.000000,0.003656,0.003650,0.007645,0.005927,0.047907,0.046966,0.007694,0.007694,0.007689,0.007686,0.007685,0.007684,0.005846,0.005846,0.005845,0.005845,0.005845,0.005845,0.007728,0.007720,0.005847,0.005855
EPAL2_Aerodramus_elaphrus,0.160657,0.161369,0.144564,0.157094,0.057586,0.054606,0.054606,0.052952,0.114204,0.106788,0.056311,0.056311,0.061095,0.059793,0.051736,0.051653,0.044918,0.097917,0.041617,0.042031,0.044555,0.048467,0.098637,0.103608,0.103999,0.103050,0.098729,0.044555,0.044555,0.047526,0.047526,0.047489,0.044794,0.044794,0.025572,0.025572,0.098690,0.100191,0.100180,0.045685,0.004614,0.099111,0.098795,0.045989,0.003656,0.000000,0.003654,0.007649,0.005931,0.047911,0.046970,0.007698,0.007698,0.007693,0.007690,0.007689,0.007688,0.005850,0.005850,0.005849,0.005849,0.005849,0.005849,0.007732,0.007724,0.005851,0.005859
DHC61_Aerodramus_elaphrus,0.160651,0.161363,0.144558,0.157088,0.057580,0.054600,0.054600,0.052946,0.114198,0.106782,0.056305,0.056305,0.061089,0.059787,0.051730,0.051647,0.044912,0.097911,0.041611,0.042025,0.044549,0.048461,0.098631,0.103602,0.103993,0.103044,0.098723,0.044549,0.044549,0.047520,0.047520,0.047483,0.044788,0.044788,0.025566,0.025566,0.098684,0.100185,0.100174,0.045679,0.004608,0.099105,0.098789,0.045983,0.003650,0.003654,0.000000,0.007643,0.005925,0.047905,0.046964,0.007692,0.007692,0.007687,0.007684,0.007683,0.007682,0.005844,0.005844,0.005843,0.005843,0.005843,0.005843,0.007726,0.007718,0.005845,0.005853
Mauritius_BWM83_Aerodramus_francicus,0.163870,0.164582,0.147777,0.160307,0.060799,0.057819,0.057819,0.056165,0.117417,0.110001,0.059524,0.059524,0.064308,0.063006,0.054949,0.054866,0.048131,0.101130,0.044830,0.045244,0.047768,0.051680,0.101850,0.106821,0.107212,0.106263,0.101942,0.047768,0.047768,0.050739,0.050739,0.050702,0.048007,0.048007,0.028785,0.028785,0.101903,0.103404,0.103393,0.048898,0.008603,0.102324,0.102008,0.049202,0.007645,0.007649,0.007643,0.000000,0.007698,0.051124,0.050183,0.001961,0.001961,0.001956,0.001953,0.001952,0.001951,0.007617,0.007617,0.007616,0.007616,0.007616,0.007616,0.001995,0.001987,0.007618,0.007626
Reunion_LC8_Aerodramus_francicus,0.162152,0.162864,0.146059,0.158589,0.059081,0.056101,0.056101,0.054447,0.115699,0.108283,0.057806,0.057806,0.062590,0.061288,0.053231,0.053148,0.046413,0.099412,0.043112,0.043526,0.046050,0.049962,0.100132,0.105103,0.105494,0.104545,0.100224,0.046050,0.046050,0.049021,0.049021,0.048984,0.046289,0.046289,0.027067,0.027067,0.100185,0.101686,0.101675,0.047180,0.006885,0.100606,0.100290,0.047484,0.005927,0.005931,0.005925,0.007698,0.000000,0.049406,0.048465,0.007747,0.007747,0.007742,0.007739,0.007738,0.007737,0.002677,0.002677,0.002676,0.002676,0.002676,0.002676,0.007781,0.007773,0.002678,0.002686
AC09-09_Aerodramus_ocistus_ocistus,0.163846,0.164558,0.147753,0.160283,0.060775,0.057795,0.057795,0.056141,0.117393,0.109977,0.059500,0.059500,0.064284,0.062982,0.054925,0.054842,0.048107,0.101106,0.044806,0.045220,0.047744,0.051656,0.101826,0.106797,0.107188,0.106239,0.101918,0.047744,0.047744,0.050715,0.050715,0.005686,0.026637,0.026637,0.047895,0.047895,0.101879,0.103380,0.103369,0.002226,0.048865,0.102300,0.101984,0.001922,0.047907,0.047911,0.047905,0.051124,0.049406,0.000000,0.000941,0.051173,0.051173,0.051168,0.051165,0.051164,0.051163,0.049325,0.049325,0.049324,0.049324,0.049324,0.049324,0.051207,0.051199,0.049326,0.049334
AC10-01_Aerodramus_ocistus_ocistus,0.162905,0.163617,0.146812,0.159342,0.059834,0.056854,0.056854,0.055200,0.116452,0.109036,0.058559,0.058559,0.063343,0.062041,0.053984,0.053901,0.047166,0.100165,0.043865,0.044279,0.046803,0.050715,0.100885,0.105856,0.106247,0.105298,0.100977,0.046803,0.046803,0.049774,0.049774,0.004745,0.025696,0.025696,0.046954,0.046954,0.100938,0.102439,0.102428,0.001285,0.047924,0.101359,0.101043,0.000981,0.046966,0.046970,0.046964,0.050183,0.048465,0.000941,0.000000,0.050232,0.050232,0.050227,0.050224,0.050223,0.050222,0.048384,0.048384,0.048383,0.048383,0.048383,0.048383,0.050266,0.050258,0.048385,0.048393
Mauritius_BWM80_Aerodramus_francicus,0.163919,0.164631,0.147826,0.160356,0.060848,0.057868,0.057868,0.056214,0.117466,0.110050,0.059573,0.059573,0.064357,0.063055,0.054998,0.054915,0.048180,0.101179,0.044879,0.045293,0.047817,0.051729,0.101899,0.106870,0.107261,0.106312,0.101991,0.047817,0.047817,0.050788,0.050788,0.050751,0.048056,0.048056,0.028834,0.028834,0.101952,0.103453,0.103442,0.048947,0.008652,0.102373,0.102057,0.049251,0.007694,0.007698,0.007692,0.001961,0.007747,0.051173,0.050232,0.000000,0.002010,0.002005,0.002002,0.002001,0.002000,0.007666,0.007666,0.007665,0.007665,0.007665,0.007665,0.002044,0.002036,0.007667,0.007675
Mauritius_DHC53_Aerodramus_francicus,0.163919,0.164631,0.147826,0.160356,0.060848,0.057868,0.057868,0.056214,0.117466,0.110050,0.059573,0.059573,0.064357,0.063055,0.054998,0.054915,0.048180,0.101179,0.044879,0.045293,0.047817,0.051729,0.101899,0.106870,0.107261,0.106312,0.101991,0.047817,0.047817,0.050788,0.050788,0.050751,0.048056,0.048056,0.028834,0.028834,0.101952,0.103453,0.103442,0.048947,0.008652,0.102373,0.102057,0.049251,0.007694,0.007698,0.007692,0.001961,0.007747,0.051173,0.050232,0.002010,0.000000,0.002005,0.002002,0.002001,0.002000,0.007666,0.007666,0.007665,0.007665,0.007665,0.007665,0.002044,0.002036,0.007667,0.007675
Mauritius_BWM82_Aerodramus_francicus,0.163914,0.164626,0.147821,0.160351,0.060843,0.057863,0.057863,0.056209,0.117461,0.110045,0.059568,0.059568,0.064352,0.063050,0.054993,0.054910,0.048175,0.101174,0.044874,0.045288,0.047812,0.051724,0.101894,0.106865,0.107256,0.106307,0.101986,0.047812,0.047812,0.050783,0.050783,0.050746,0.048051,0.048051,0.028829,0.028829,0.101947,0.103448,0.103437,0.048942,0.008647,0.102368,0.102052,0.049246,0.007689,0.007693,0.007687,0.001956,0.007742,0.051168,0.050227,0.002005,0.002005,0.000000,0.001997,0.001996,0.001995,0.007661,0.007661,0.007660,0.007660,0.007660,0.007660,0.002039,0.002031,0.007662,0.007670
Mauritius_BWM85_Aerodramus_francicus,0.163911,0.164623,0.147818,0.160348,0.060840,0.057860,0.057860,0.056206,0.117458,0.110042,0.059565,0.059565,0.064349,0.063047,0.054990,0.054907,0.048172,0.101171,0.044871,0.045285,0.047809,0.051721,0.101891,0.106862,0.107253,0.106304,0.101983,0.047809,0.047809,0.050780,0.050780,0.050743,0.048048,0.048048,0.028826,0.028826,0.101944,0.103445,0.103434,0.048939,0.008644,0.102365,0.102049,0.049243,0.007686,0.007690,0.007684,0.001953,0.007739,0.051165,0.050224,0.002002,0.002002,0.001997,0.000000,0.001993,0.001992,0.007658,0.007658,0.007657,0.007657,0.007657,0.007657,0.002036,0.002028,0.007659,0.007667
Mauritius_BWM89_Aerodramus_francicus,0.163910,0.164622,0.147817,0.160347,0.060839,0.057859,0.057859,0.056205,0.117457,0.110041,0.059564,0.059564,0.064348,0.063046,0.054989,0.054906,0.048171,0.101170,0.044870,0.045284,0.047808,0.051720,0.101890,0.106861,0.107252,0.106303,0.101982,0.047808,0.047808,0.050779,0.050779,0.050742,0.048047,0.048047,0.028825,0.028825,0.101943,0.103444,0.103433,0.048938,0.008643,0.102364,0.102048,0.049242,0.007685,0.007689,0.007683,0.001952,0.007738,0.051164,0.050223,0.002001,0.002001,0.001996,0.001993,0.000000,0.001991,0.007657,0.007657,0.007656,0.007656,0.007656,0.007656,0.002035,0.002027,0.007658,0.007666
Mauritius_DHC52_Aerodramus_francicus,0.163909,0.164621,0.147816,0.160346,0.060838,0.057858,0.057858,0.056204,0.117456,0.110040,0.059563,0.059563,0.064347,0.063045,0.054988,0.054905,0.048170,0.101169,0.044869,0.045283,0.047807,0.051719,0.101889,0.106860,0.107251,0.106302,0.101981,0.047807,0.047807,0.050778,0.050778,0.050741,0.048046,0.048046,0.028824,0.028824,0.101942,0.103443,0.103432,0.048937,0.008642,0.102363,0.102047,0.049241,0.007684,0.007688,0.007682,0.001951,0.007737,0.051163,0.050222,0.002000,0.002000,0.001995,0.001992,0.001991,0.000000,0.007656,0.007656,0.007655,0.007655,0.007655,0.007655,0.002034,0.002026,0.007657,0.007665
Reunion_CDS2117_Aerodramus_francicus,0.162071,0.162783,0.145978,0.158508,0.059000,0.056020,0.056020,0.054366,0.115618,0.108202,0.057725,0.057725,0.062509,0.061207,0.053150,0.053067,0.046332,0.099331,0.043031,0.043445,0.045969,0.049881,0.100051,0.105022,0.105413,0.104464,0.100143,0.045969,0.045969,0.048940,0.048940,0.048903,0.046208,0.046208,0.026986,0.026986,0.100104,0.101605,0.101594,0.047099,0.006804,0.100525,0.100209,0.047403,0.005846,0.005850,0.005844,0.007617,0.002677,0.049325,0.048384,0.007666,0.007666,0.007661,0.007658,0.007657,0.007656,0.000000,0.002596,0.002595,0.002595,0.002595,0.002595,0.007700,0.007692,0.002597,0.002605
Reunion_LC2_Aerodramus_francicus,0.162071,0.162783,0.145978,0.158508,0.059000,0.056020,0.056020,0.054366,0.115618,0.108202,0.057725,0.057725,0.062509,0.061207,0.053150,0.053067,0.046332,0.099331,0.043031,0.043445,0.045969,0.049881,0.100051,0.105022,0.105413,0.104464,0.100143,0.045969,0.045969,0.048940,0.048940,0.048903,0.046208,0.046208,0.026986,0.026986,0.100104,0.101605,0.101594,0.047099,0.006804,0.100525,0.100209,0.047403,0.005846,0.005850,0.005844,0.007617,0.002677,0.049325,0.048384,0.007666,0.007666,0.007661,0.007658,0.007657,0.007656,0.002596,0.000000,0.002595,0.002595,0.002595,0.002595,0.007700,0.007692,0.002597,0.002605
Reunion_LC6_Aerodramus_francicus,0.162070,0.162782,0.145977,0.158507,0.058999,0.056019,0.056019,0.054365,0.115617,0.108201,0.057724,0.057724,0.062508,0.061206,0.053149,0.053066,0.046331,0.099330,0.043030,0.043444,0.045968,0.049880,0.100050,0.105021,0.105412,0.104463,0.100142,0.045968,0.045968,0.048939,0.048939,0.048902,0.046207,0.046207,0.026985,0.026985,0.100103,0.101604,0.101593,0.047098,0.006803,0.100524,0.100208,0.047402,0.005845,0.005849,0.005843,0.007616,0.002676,0.049324,0.048383,0.007665,0.007665,0.007660,0.007657,0.007656,0.007655,0.002595,0.002595,0.000000,0.002594,0.002594,0.002594,0.007699,0.007691,0.002596,0.002604
Reunion_SEOR1_Aerodramus_francicus,0.162070,0.162782,0.145977,0.158507,0.058999,0.056019,0.056019,0.054365,0.115617,0.108201,0.057724,0.057724,0.062508,0.061206,0.053149,0.053066,0.046331,0.099330,0.043030,0.043444,0.045968,0.049880,0.100050,0.105021,0.105412,0.104463,0.100142,0.045968,0.045968,0.048939,0.048939,0.048902,0.046207,0.046207,0.026985,0.026985,0.100103,0.101604,0.101593,0.047098,0.006803,0.100524,0.100208,0.047402,0.005845,0.005849,0.005843,0.007616,0.002676,0.049324,0.048383,0.007665,0.007665,0.007660,0.007657,0.007656,0.007655,0.002595,0.002595,0.002594,0.000000,0.002594,0.002594,0.007699,0.007691,0.002596,0.002604
Reunion_SEOR4_Aerodramus_francicus,0.162070,0.162782,0.145977,0.158507,0.058999,0.056019,0.056019,0.054365,0.115617,0.108201,0.057724,0.057724,0.062508,0.061206,0.053149,0.053066,0.046331,0.099330,0.043030,0.043444,0.045968,0.049880,0.100050,0.105021,0.105412,0.104463,0.100142,0.045968,0.045968,0.048939,0.048939,0.048902,0.046207,0.046207,0.026985,0.026985,0.100103,0.101604,0.101593,0.047098,0.006803,0.100524,0.100208,0.047402,0.005845,0.005849,0.005843,0.007616,0.002676,0.049324,0.048383,0.007665,0.007665,0.007660,0.007657,0.007656,0.007655,0.002595,0.002595,0.002594,0.002594,0.000000,0.002594,0.007699,0.007691,0.002596,0.002604
Reunion_SEOR5_Aerodramus_francicus,0.162070,0.162782,0.145977,0.158507,0.058999,0.056019,0.056019,0.054365,0.115617,0.108201,0.057724,0.057724,0.062508,0.061206,0.053149,0.053066,0.046331,0.099330,0.043030,0.043444,0.045968,0.049880,0.100050,0.105021,0.105412,0.104463,0.100142,0.045968,0.045968,0.048939,0.048939,0.048902,0.046207,0.046207,0.026985,0.026985,0.100103,0.101604,0.101593,0.047098,0.006803,0.100524,0.100208,0.047402,0.005845,0.005849,0.005843,0.007616,0.002676,0.049324,0.048383,0.007665,0.007665,0.007660,0.007657,0.007656,0.007655,0.002595,0.002595,0.002594,0.002594,0.002594,0.000000,0.007699,0.007691,0.002596,0.002604
Mauritius_BWM81_Aerodramus_francicus,0.163953,0.164665,0.147860,0.160390,0.060882,0.057902,0.057902,0.056248,0.117500,0.110084,0.059607,0.059607,0.064391,0.063089,0.055032,0.054949,0.048214,0.101213,0.044913,0.045327,0.047851,0.051763,0.101933,0.106904,0.107295,0.106346,0.102025,0.047851,0.047851,0.050822,0.050822,0.050785,0.048090,0.048090,0.028868,0.028868,0.101986,0.103487,0.103476,0.048981,0.008686,0.102407,0.102091,0.049285,0.007728,0.007732,0.007726,0.001995,0.007781,0.051207,0.050266,0.002044,0.002044,0.002039,0.002036,0.002035,0.002034,0.007700,0.007700,0.007699,0.007699,0.007699,0.007699,0.000000,0.000798,0.007701,0.007709
Mauritius_BWM88_Aerodramus_francicus,0.163945,0.164657,0.147852,0.160382,0.060874,0.057894,0.057894,0.056240,0.117492,0.110076,0.059599,0.059599,0.064383,0.063081,0.055024,0.054941,0.048206,0.101205,0.044905,0.045319,0.047843,0.051755,0.101925,0.106896,0.107287,0.106338,0.102017,0.047843,0.047843,0.050814,0.050814,0.050777,0.048082,0.048082,0.028860,0.028860,0.101978,0.103479,0.103468,0.048973,0.008678,0.102399,0.102083,0.049277,0.007720,0.007724,0.007718,0.001987,0.007773,0.051199,0.050258,0.002036,0.002036,0.002031,0.002028,0.002027,0.002026,0.007692,0.007692,0.007691,0.007691,0.007691,0.007691,0.000798,0.000000,0.007693,0.007701
Reunion_CDS2036_Aerodramus_francicus,0.162072,0.162784,0.145979,0.158509,0.059001,0.056021,0.056021,0.054367,0.115619,0.108203,0.057726,0.057726,0.062510,0.061208,0.053151,0.053068,0.046333,0.099332,0.043032,0.043446,0.045970,0.049882,0.100052,0.105023,0.105414,0.104465,0.100144,0.045970,0.045970,0.048941,0.048941,0.048904,0.046209,0.046209,0.026987,0.026987,0.100105,0.101606,0.101595,0.047100,0.006805,0.100526,0.100210,0.047404,0.005847,0.005851,0.005845,0.007618,0.002678,0.049326,0.048385,0.007667,0.007667,0.007662,0.007659,0.007658,0.007657,0.002597,0.002597,0.002596,0.002596,0.002596,0.002596,0.007701,0.007693,0.000000,0.002606
Reunion_LC3_Aerodramus_francicus,0.162080,0.162792,0.145987,0.158517,0.059009,0.056029,0.056029,0.054375,0.115627,0.108211,0.057734,0.057734,0.062518,0.061216,0.053159,0.053076,0.046341,0.099340,0.043040,0.043454,0.045978,0.049890,0.100060,0.105031,0.105422,0.104473,0.100152,0.045978,0.045978,0.048949,0.048949,0.048912,0.046217,0.046217,0.026995,0.026995,0.100113,0.101614,0.101603,0.047108,0.006813,0.100534,0.100218,0.047412,0.005855,0.005859,0.005853,0.007626,0.002686,0.049334,0.048393,0.007675,0.007675,0.007670,0.007667,0.007666,0.007665,0.002605,0.002605,0.002604,0.002604,0.002604,0.002604,0.007709,0.007701,0.002606,0.000000
