,CTC_Apus_melba,CMNH37000_Aerodramus_whiteheadi,FMNH358312_Collocalia_troglodytes,09NC56_Collocalia_uropygialis,DHC88_Collocalia_esculenta,DHC66_Aerodramus_brevirostris_vulcanorum,DHC31_Aerodramus_spodiopygius_spodiopygius,AC10-07_Aerodramus_ocistus_ocistus,DHC04_Aerodramus_fuciphagus_germani,ROAF1_Aerodramus_fuciphagus_germani,DMT042_Aerodramus_maximus,DHC36_Aerodramus_spodiopygius_assimilis,DHC37_Aerodramus_spodiopygius_assimilis,M2049_Aerodramus_brevirostris,M2123_Aerodramus_brevirostris,14F2_Aerodramus_spodiopygius_assimilis,DHC39_Aerodramus_spodiopygius_assimilis,DHC40_Aerodramus_fuciphagus_vestitus,DMT027_Aerodramus_fuciphagus_vestitus,DMT002_Aerodramus_salangana_natunae,EP52-03_Aerodramus_sororum,LC1_Aerodramus_francicus_cytb_Reunion,SEA116_Aerodramus_mearnsi,195235_Aerodramus_ocistus_ocistus,195236_Aerodramus_ocistus_ocistus,195261_Aerodramus_ocistus_gilliardi,AC05-01_Aerodramus_leucophaeus,AC09-S3_Aerodramus_leucophaeus,UWBM58708_Aerodramus_vanikorensis_lugubrius,JBF08-96_Aerodramus_spodiopygius_leucopygius,DHC28_Aerodramus_terraereginae,DHC03_Aerodramus_maximus,DMT048_Aerodramus_salangana_natunae,DMT047_Aerodramus_salangana_natunae,EP52-01_Aerodramus_sororum,EP52-02_Aerodramus_sororum,DHC52_Aerodramus_francicus_Mauritius,DHC53_Aerodramus_francicus_Mauritius,DHC59_Aerodramus_elaphrus,DHC60_Aerodramus_elaphrus,DHC61_Aerodramus_elaphrus,EPAL2_Aerodramus_elaphrus,DHC01_Aerodramus_vanikorensis_palawensis,DHC06_Aerodramus_vanikorensis_palawensis,AC10-02_Aerodramus_ocistus_ocistus,AC10-04_Aerodramus_ocistus_ocistus,AC09-09_Aerodramus_ocistus_ocistus,AC10-01_Aerodramus_ocistus_ocistus,190167_Aerodramus_ocistus_gilliardi,195258_Aerodramus_ocistus_gilliardi,DHC77_Aerodramus_bartschi,09NC38_Aerodramus_spodiopygius_leucopygius,09NC39_Aerodramus_spodiopygius_leucopygius,DHC20_Aerodramus_terraereginae,DHC30_Aerodramus_terraereginae,DMT040_Aerodramus_maximus,MC10-01_Aerodramus_sawtelli,MC10-02_Aerodramus_sawtelli,W3_Aerodramus_sawtelli,DHC117_Aerodramus_maximus,DHC120_Aerodramus_maximus
UWBM58708_Aerodramus_vanikorensis_lugubrius,0.114691,0.130596,0.094680,0.084490,0.085415,0.032988,0.011706,0.013420,0.015645,0.013119,0.045251,0.014636,0.014067,0.014471,0.014469,0.012805,0.014024,0.017957,0.014307,0.013889,0.023564,0.021006,0.013773,0.019001,0.018398,0.015965,0.017136,0.012129,0.000000,0.044047,0.033777,0.043975,0.014129,0.013943,0.022710,0.021808,0.022880,0.022997,0.023564,0.021584,0.020345,0.028832,0.017605,0.017594,0.018552,0.018408,0.019665,0.019387,0.025928,0.020175,0.016502,0.044047,0.044047,0.038119,0.035762,0.045721,0.011957,0.011602,0.011768,0.045722,0.045722
JBF08-96_Aerodramus_spodiopygius_leucopygius,0.118646,0.134551,0.098635,0.088445,0.089370,0.036943,0.040543,0.042257,0.044482,0.041956,0.049206,0.043473,0.042904,0.043308,0.043306,0.041642,0.042861,0.046794,0.043144,0.042726,0.052401,0.049843,0.042610,0.047838,0.047235,0.044802,0.045973,0.040966,0.044047,0.000000,0.037732,0.047930,0.042966,0.042780,0.051547,0.050645,0.051717,0.051834,0.052401,0.050421,0.049182,0.057669,0.046442,0.046431,0.047389,0.047245,0.048502,0.048224,0.054765,0.049012,0.045339,0.000000,0.000000,0.042074,0.039717,0.049676,0.040794,0.040439,0.040605,0.049677,0.049677
DHC28_Aerodramus_terraereginae,0.108376,0.124281,0.088365,0.078175,0.079100,0.026673,0.030273,0.031987,0.034212,0.031686,0.038936,0.033203,0.032634,0.033038,0.033036,0.031372,0.032591,0.036524,0.032874,0.032456,0.042131,0.039573,0.032340,0.037568,0.036965,0.034532,0.035703,0.030696,0.033777,0.037732,0.000000,0.037660,0.032696,0.032510,0.041277,0.040375,0.041447,0.041564,0.042131,0.040151,0.038912,0.047399,0.036172,0.036161,0.037119,0.036975,0.038232,0.037954,0.044495,0.038742,0.035069,0.037732,0.037732,0.004604,0.002247,0.039406,0.030524,0.030169,0.030335,0.039407,0.039407
DHC03_Aerodramus_maximus,0.118574,0.134479,0.098563,0.088373,0.089298,0.019207,0.040471,0.042185,0.044410,0.041884,0.005720,0.043401,0.042832,0.043236,0.043234,0.041570,0.042789,0.046722,0.043072,0.042654,0.052329,0.049771,0.042538,0.047766,0.047163,0.044730,0.045901,0.040894,0.043975,0.047930,0.037660,0.000000,0.042894,0.042708,0.051475,0.050573,0.051645,0.051762,0.052329,0.050349,0.049110,0.057597,0.046370,0.046359,0.047317,0.047173,0.048430,0.048152,0.054693,0.048940,0.045267,0.047930,0.047930,0.042002,0.039645,0.006190,0.040722,0.040367,0.040533,0.006191,0.006191
DMT048_Aerodramus_salangana_natunae,0.113610,0.129515,0.093599,0.083409,0.084334,0.031907,0.010625,0.012339,0.014564,0.012038,0.044170,0.013555,0.012986,0.013390,0.013388,0.011724,0.012943,0.016876,0.013226,0.002158,0.022483,0.019925,0.012692,0.017920,0.017317,0.014884,0.016055,0.011048,0.014129,0.042966,0.032696,0.042894,0.000000,0.000186,0.021629,0.020727,0.021799,0.021916,0.022483,0.020503,0.019264,0.027751,0.016524,0.016513,0.017471,0.017327,0.018584,0.018306,0.024847,0.019094,0.015421,0.042966,0.042966,0.037038,0.034681,0.044640,0.010876,0.010521,0.010687,0.044641,0.044641
DMT047_Aerodramus_salangana_natunae,0.113424,0.129329,0.093413,0.083223,0.084148,0.031721,0.010439,0.012153,0.014378,0.011852,0.043984,0.013369,0.012800,0.013204,0.013202,0.011538,0.012757,0.016690,0.013040,0.001972,0.022297,0.019739,0.012506,0.017734,0.017131,0.014698,0.015869,0.010862,0.013943,0.042780,0.032510,0.042708,0.000186,0.000000,0.021443,0.020541,0.021613,0.021730,0.022297,0.020317,0.019078,0.027565,0.016338,0.016327,0.017285,0.017141,0.018398,0.018120,0.024661,0.018908,0.015235,0.042780,0.042780,0.036852,0.034495,0.044454,0.010690,0.010335,0.010501,0.044455,0.044455
EP52-01_Aerodramus_sororum,0.122191,0.138096,0.102180,0.091990,0.092915,0.040488,0.019206,0.020920,0.023145,0.020619,0.052751,0.022136,0.021567,0.021971,0.021969,0.020305,0.021524,0.025457,0.021807,0.021389,0.002658,0.028506,0.021273,0.026501,0.025898,0.023465,0.024636,0.019629,0.022710,0.051547,0.041277,0.051475,0.021629,0.021443,0.000000,0.000902,0.030380,0.030497,0.031064,0.029084,0.027845,0.036332,0.025105,0.025094,0.026052,0.025908,0.027165,0.026887,0.033428,0.027675,0.024002,0.051547,0.051547,0.045619,0.043262,0.053221,0.019457,0.019102,0.019268,0.053222,0.053222
EP52-02_Aerodramus_sororum,0.121289,0.137194,0.101278,0.091088,0.092013,0.039586,0.018304,0.020018,0.022243,0.019717,0.051849,0.021234,0.020665,0.021069,0.021067,0.019403,0.020622,0.024555,0.020905,0.020487,0.001756,0.027604,0.020371,0.025599,0.024996,0.022563,0.023734,0.018727,0.021808,0.050645,0.040375,0.050573,0.020727,0.020541,0.000902,0.000000,0.029478,0.029595,0.030162,0.028182,0.026943,0.035430,0.024203,0.024192,0.025150,0.025006,0.026263,0.025985,0.032526,0.026773,0.023100,0.050645,0.050645,0.044717,0.042360,0.052319,0.018555,0.018200,0.018366,0.052320,0.052320
DHC52_Aerodramus_francicus_Mauritius,0.122361,0.138266,0.102350,0.092160,0.093085,0.040658,0.019376,0.021090,0.023315,0.020789,0.052921,0.022306,0.021737,0.022141,0.022139,0.020475,0.021694,0.025627,0.021977,0.021559,0.031234,0.010368,0.021443,0.026671,0.026068,0.023635,0.024806,0.019799,0.022880,0.051717,0.041447,0.051645,0.021799,0.021613,0.030380,0.029478,0.000000,0.000117,0.012926,0.010946,0.009707,0.018194,0.025275,0.025264,0.026222,0.026078,0.027335,0.027057,0.033598,0.027845,0.024172,0.051717,0.051717,0.045789,0.043432,0.053391,0.019627,0.019272,0.019438,0.053392,0.053392
DHC53_Aerodramus_francicus_Mauritius,0.122478,0.138383,0.102467,0.092277,0.093202,0.040775,0.019493,0.021207,0.023432,0.020906,0.053038,0.022423,0.021854,0.022258,0.022256,0.020592,0.021811,0.025744,0.022094,0.021676,0.031351,0.010485,0.021560,0.026788,0.026185,0.023752,0.024923,0.019916,0.022997,0.051834,0.041564,0.051762,0.021916,0.021730,0.030497,0.029595,0.000117,0.000000,0.013043,0.011063,0.009824,0.018311,0.025392,0.025381,0.026339,0.026195,0.027452,0.027174,0.033715,0.027962,0.024289,0.051834,0.051834,0.045906,0.043549,0.053508,0.019744,0.019389,0.019555,0.053509,0.053509
DHC59_Aerodramus_elaphrus,0.123045,0.138950,0.103034,0.092844,0.093769,0.041342,0.020060,0.021774,0.023999,0.021473,0.053605,0.022990,0.022421,0.022825,0.022823,0.021159,0.022378,0.026311,0.022661,0.022243,0.031918,0.011052,0.022127,0.027355,0.026752,0.024319,0.025490,0.020483,0.023564,0.052401,0.042131,0.052329,0.022483,0.022297,0.031064,0.030162,0.012926,0.013043,0.000000,0.004458,0.003219,0.011706,0.025959,0.025948,0.026906,0.026762,0.028019,0.027741,0.034282,0.028529,0.024856,0.052401,0.052401,0.046473,0.044116,0.054075,0.020311,0.019956,0.020122,0.054076,0.054076
DHC60_Aerodramus_elaphrus,0.121065,0.136970,0.101054,0.090864,0.091789,0.039362,0.018080,0.019794,0.022019,0.019493,0.051625,0.021010,0.020441,0.020845,0.020843,0.019179,0.020398,0.024331,0.020681,0.020263,0.029938,0.009072,0.020147,0.025375,0.024772,0.022339,0.023510,0.018503,0.021584,0.050421,0.040151,0.050349,0.020503,0.020317,0.029084,0.028182,0.010946,0.011063,0.004458,0.000000,0.001239,0.009726,0.023979,0.023968,0.024926,0.024782,0.026039,0.025761,0.032302,0.026549,0.022876,0.050421,0.050421,0.044493,0.042136,0.052095,0.018331,0.017976,0.018142,0.052096,0.052096
DHC61_Aerodramus_elaphrus,0.119826,0.135731,0.099815,0.089625,0.090550,0.038123,0.016841,0.018555,0.020780,0.018254,0.050386,0.019771,0.019202,0.019606,0.019604,0.017940,0.019159,0.023092,0.019442,0.019024,0.028699,0.007833,0.018908,0.024136,0.023533,0.021100,0.022271,0.017264,0.020345,0.049182,0.038912,0.049110,0.019264,0.019078,0.027845,0.026943,0.009707,0.009824,0.003219,0.001239,0.000000,0.008487,0.022740,0.022729,0.023687,0.023543,0.024800,0.024522,0.031063,0.025310,0.021637,0.049182,0.049182,0.043254,0.040897,0.050856,0.017092,0.016737,0.016903,0.050857,0.050857
EPAL2_Aerodramus_elaphrus,0.128313,0.144218,0.108302,0.098112,0.099037,0.046610,0.025328,0.027042,0.029267,0.026741,0.058873,0.028258,0.027689,0.028093,0.028091,0.026427,0.027646,0.031579,0.027929,0.027511,0.037186,0.016320,0.027395,0.032623,0.032020,0.029587,0.030758,0.025751,0.028832,0.057669,0.047399,0.057597,0.027751,0.027565,0.036332,0.035430,0.018194,0.018311,0.011706,0.009726,0.008487,0.000000,0.031227,0.031216,0.032174,0.032030,0.033287,0.033009,0.039550,0.033797,0.030124,0.057669,0.057669,0.051741,0.049384,0.059343,0.025579,0.025224,0.025390,0.059344,0.059344
DHC01_Aerodramus_vanikorensis_palawensis,0.117086,0.132991,0.097075,0.086885,0.087810,0.035383,0.014101,0.015815,0.018040,0.015514,0.047646,0.017031,0.016462,0.016866,0.016864,0.015200,0.016419,0.020352,0.016702,0.016284,0.025959,0.023401,0.008586,0.021396,0.020793,0.018360,0.019531,0.014524,0.017605,0.046442,0.036172,0.046370,0.016524,0.016338,0.025105,0.024203,0.025275,0.025392,0.025959,0.023979,0.022740,0.031227,0.000000,0.000011,0.020947,0.020803,0.022060,0.021782,0.028323,0.022570,0.018897,0.046442,0.046442,0.040514,0.038157,0.048116,0.014352,0.013997,0.014163,0.048117,0.048117
DHC06_Aerodramus_vanikorensis_palawensis,0.117075,0.132980,0.097064,0.086874,0.087799,0.035372,0.014090,0.015804,0.018029,0.015503,0.047635,0.017020,0.016451,0.016855,0.016853,0.015189,0.016408,0.020341,0.016691,0.016273,0.025948,0.023390,0.008575,0.021385,0.020782,0.018349,0.019520,0.014513,0.017594,0.046431,0.036161,0.046359,0.016513,0.016327,0.025094,0.024192,0.025264,0.025381,0.025948,0.023968,0.022729,0.031216,0.000011,0.000000,0.020936,0.020792,0.022049,0.021771,0.028312,0.022559,0.018886,0.046431,0.046431,0.040503,0.038146,0.048105,0.014341,0.013986,0.014152,0.048106,0.048106
AC10-02_Aerodramus_ocistus_ocistus,0.118033,0.133938,0.098022,0.087832,0.088757,0.036330,0.015048,0.016762,0.018987,0.016461,0.048593,0.017978,0.017409,0.017813,0.017811,0.016147,0.017366,0.021299,0.017649,0.017231,0.026906,0.024348,0.017115,0.008803,0.008200,0.019307,0.020478,0.015471,0.018552,0.047389,0.037119,0.047317,0.017471,0.017285,0.026052,0.025150,0.026222,0.026339,0.026906,0.024926,0.023687,0.032174,0.020947,0.020936,0.000000,0.000144,0.009467,0.009189,0.029270,0.023517,0.019844,0.047389,0.047389,0.041461,0.039104,0.049063,0.015299,0.014944,0.015110,0.049064,0.049064
AC10-04_Aerodramus_ocistus_ocistus,0.117889,0.133794,0.097878,0.087688,0.088613,0.036186,0.014904,0.016618,0.018843,0.016317,0.048449,0.017834,0.017265,0.017669,0.017667,0.016003,0.017222,0.021155,0.017505,0.017087,0.026762,0.024204,0.016971,0.008659,0.008056,0.019163,0.020334,0.015327,0.018408,0.047245,0.036975,0.047173,0.017327,0.017141,0.025908,0.025006,0.026078,0.026195,0.026762,0.024782,0.023543,0.032030,0.020803,0.020792,0.000144,0.000000,0.009323,0.009045,0.029126,0.023373,0.019700,0.047245,0.047245,0.041317,0.038960,0.048919,0.015155,0.014800,0.014966,0.048920,0.048920
AC09-09_Aerodramus_ocistus_ocistus,0.119146,0.135051,0.099135,0.088945,0.089870,0.037443,0.016161,0.017875,0.020100,0.017574,0.049706,0.019091,0.018522,0.018926,0.018924,0.017260,0.018479,0.022412,0.018762,0.018344,0.028019,0.025461,0.018228,0.009916,0.009313,0.020420,0.021591,0.016584,0.019665,0.048502,0.038232,0.048430,0.018584,0.018398,0.027165,0.026263,0.027335,0.027452,0.028019,0.026039,0.024800,0.033287,0.022060,0.022049,0.009467,0.009323,0.000000,0.000278,0.030383,0.024630,0.020957,0.048502,0.048502,0.042574,0.040217,0.050176,0.016412,0.016057,0.016223,0.050177,0.050177
AC10-01_Aerodramus_ocistus_ocistus,0.118868,0.134773,0.098857,0.088667,0.089592,0.037165,0.015883,0.017597,0.019822,0.017296,0.049428,0.018813,0.018244,0.018648,0.018646,0.016982,0.018201,0.022134,0.018484,0.018066,0.027741,0.025183,0.017950,0.009638,0.009035,0.020142,0.021313,0.016306,0.019387,0.048224,0.037954,0.048152,0.018306,0.018120,0.026887,0.025985,0.027057,0.027174,0.027741,0.025761,0.024522,0.033009,0.021782,0.021771,0.009189,0.009045,0.000278,0.000000,0.030105,0.024352,0.020679,0.048224,0.048224,0.042296,0.039939,0.049898,0.016134,0.015779,0.015945,0.049899,0.049899
190167_Aerodramus_ocistus_gilliardi,0.125409,0.141314,0.105398,0.095208,0.096133,0.043706,0.022424,0.024138,0.026363,0.023837,0.055969,0.025354,0.024785,0.025189,0.025187,0.023523,0.024742,0.028675,0.025025,0.024607,0.034282,0.031724,0.024491,0.029719,0.029116,0.009963,0.027854,0.022847,0.025928,0.054765,0.044495,0.054693,0.024847,0.024661,0.033428,0.032526,0.033598,0.033715,0.034282,0.032302,0.031063,0.039550,0.028323,0.028312,0.029270,0.029126,0.030383,0.030105,0.000000,0.005753,0.027220,0.054765,0.054765,0.048837,0.046480,0.056439,0.022675,0.022320,0.022486,0.056440,0.056440
195258_Aerodramus_ocistus_gilliardi,0.119656,0.135561,0.099645,0.089455,0.090380,0.037953,0.016671,0.018385,0.020610,0.018084,0.050216,0.019601,0.019032,0.019436,0.019434,0.017770,0.018989,0.022922,0.019272,0.018854,0.028529,0.025971,0.018738,0.023966,0.023363,0.004210,0.022101,0.017094,0.020175,0.049012,0.038742,0.048940,0.019094,0.018908,0.027675,0.026773,0.027845,0.027962,0.028529,0.026549,0.025310,0.033797,0.022570,0.022559,0.023517,0.023373,0.024630,0.024352,0.005753,0.000000,0.021467,0.049012,0.049012,0.043084,0.040727,0.050686,0.016922,0.016567,0.016733,0.050687,0.050687
DHC77_Aerodramus_bartschi,0.115983,0.131888,0.095972,0.085782,0.086707,0.034280,0.012998,0.014712,0.016937,0.014411,0.046543,0.015928,0.015359,0.015763,0.015761,0.014097,0.015316,0.019249,0.015599,0.015181,0.024856,0.022298,0.015065,0.020293,0.019690,0.017257,0.018428,0.013421,0.016502,0.045339,0.035069,0.045267,0.015421,0.015235,0.024002,0.023100,0.024172,0.024289,0.024856,0.022876,0.021637,0.030124,0.018897,0.018886,0.019844,0.019700,0.020957,0.020679,0.027220,0.021467,0.000000,0.045339,0.045339,0.039411,0.037054,0.047013,0.008329,0.007974,0.008140,0.047014,0.047014
09NC38_Aerodramus_spodiopygius_leucopygius,0.118646,0.134551,0.098635,0.088445,0.089370,0.036943,0.040543,0.042257,0.044482,0.041956,0.049206,0.043473,0.042904,0.043308,0.043306,0.041642,0.042861,0.046794,0.043144,0.042726,0.052401,0.049843,0.042610,0.047838,0.047235,0.044802,0.045973,0.040966,0.044047,0.000000,0.037732,0.047930,0.042966,0.042780,0.051547,0.050645,0.051717,0.051834,0.052401,0.050421,0.049182,0.057669,0.046442,0.046431,0.047389,0.047245,0.048502,0.048224,0.054765,0.049012,0.045339,0.000000,0.000000,0.042074,0.039717,0.049676,0.040794,0.040439,0.040605,0.049677,0.049677
09NC39_Aerodramus_spodiopygius_leucopygius,0.118646,0.134551,0.098635,0.088445,0.089370,0.036943,0.040543,0.042257,0.044482,0.041956,0.049206,0.043473,0.042904,0.043308,0.043306,0.041642,0.042861,0.046794,0.043144,0.042726,0.052401,0.049843,0.042610,0.047838,0.047235,0.044802,0.045973,0.040966,0.044047,0.000000,0.037732,0.047930,0.042966,0.042780,0.051547,0.050645,0.051717,0.051834,0.052401,0.050421,0.049182,0.057669,0.046442,0.046431,0.047389,0.047245,0.048502,0.048224,0.054765,0.049012,0.045339,0.000000,0.000000,0.042074,0.039717,0.049676,0.040794,0.040439,0.040605,0.049677,0.049677
DHC20_Aerodramus_terraereginae,0.112718,0.128623,0.092707,0.082517,0.083442,0.031015,0.034615,0.036329,0.038554,0.036028,0.043278,0.037545,0.036976,0.037380,0.037378,0.035714,0.036933,0.040866,0.037216,0.036798,0.046473,0.043915,0.036682,0.041910,0.041307,0.038874,0.040045,0.035038,0.038119,0.042074,0.004604,0.042002,0.037038,0.036852,0.045619,0.044717,0.045789,0.045906,0.046473,0.044493,0.043254,0.051741,0.040514,0.040503,0.041461,0.041317,0.042574,0.042296,0.048837,0.043084,0.039411,0.042074,0.042074,0.000000,0.002357,0.043748,0.034866,0.034511,0.034677,0.043749,0.043749
DHC30_Aerodramus_terraereginae,0.110361,0.126266,0.090350,0.080160,0.081085,0.028658,0.032258,0.033972,0.036197,0.033671,0.040921,0.035188,0.034619,0.035023,0.035021,0.033357,0.034576,0.038509,0.034859,0.034441,0.044116,0.041558,0.034325,0.039553,0.038950,0.036517,0.037688,0.032681,0.035762,0.039717,0.002247,0.039645,0.034681,0.034495,0.043262,0.042360,0.043432,0.043549,0.044116,0.042136,0.040897,0.049384,0.038157,0.038146,0.039104,0.038960,0.040217,0.039939,0.046480,0.040727,0.037054,0.039717,0.039717,0.002357,0.000000,0.041391,0.032509,0.032154,0.032320,0.041392,0.041392
DMT040_Aerodramus_maximus,0.120320,0.136225,0.100309,0.090119,0.091044,0.020953,0.042217,0.043931,0.046156,0.043630,0.007466,0.045147,0.044578,0.044982,0.044980,0.043316,0.044535,0.048468,0.044818,0.044400,0.054075,0.051517,0.044284,0.049512,0.048909,0.046476,0.047647,0.042640,0.045721,0.049676,0.039406,0.006190,0.044640,0.044454,0.053221,0.052319,0.053391,0.053508,0.054075,0.052095,0.050856,0.059343,0.048116,0.048105,0.049063,0.048919,0.050176,0.049898,0.056439,0.050686,0.047013,0.049676,0.049676,0.043748,0.041391,0.000000,0.042468,0.042113,0.042279,0.007937,0.007937
MC10-01_Aerodramus_sawtelli,0.111438,0.127343,0.091427,0.081237,0.082162,0.029735,0.008453,0.010167,0.012392,0.009866,0.041998,0.011383,0.010814,0.011218,0.011216,0.009552,0.010771,0.014704,0.011054,0.010636,0.020311,0.017753,0.010520,0.015748,0.015145,0.012712,0.013883,0.008876,0.011957,0.040794,0.030524,0.040722,0.010876,0.010690,0.019457,0.018555,0.019627,0.019744,0.020311,0.018331,0.017092,0.025579,0.014352,0.014341,0.015299,0.015155,0.016412,0.016134,0.022675,0.016922,0.008329,0.040794,0.040794,0.034866,0.032509,0.042468,0.000000,0.000355,0.000521,0.042469,0.042469
MC10-02_Aerodramus_sawtelli,0.111083,0.126988,0.091072,0.080882,0.081807,0.029380,0.008098,0.009812,0.012037,0.009511,0.041643,0.011028,0.010459,0.010863,0.010861,0.009197,0.010416,0.014349,0.010699,0.010281,0.019956,0.017398,0.010165,0.015393,0.014790,0.012357,0.013528,0.008521,0.011602,0.040439,0.030169,0.040367,0.010521,0.010335,0.019102,0.018200,0.019272,0.019389,0.019956,0.017976,0.016737,0.025224,0.013997,0.013986,0.014944,0.014800,0.016057,0.015779,0.022320,0.016567,0.007974,0.040439,0.040439,0.034511,0.032154,0.042113,0.000355,0.000000,0.000166,0.042114,0.042114
W3_Aerodramus_sawtelli,0.111249,0.127154,0.091238,0.081048,0.081973,0.029546,0.008264,0.009978,0.012203,0.009677,0.041809,0.011194,0.010625,0.011029,0.011027,0.009363,0.010582,0.014515,0.010865,0.010447,0.020122,0.017564,0.010331,0.015559,0.014956,0.012523,0.013694,0.008687,0.011768,0.040605,0.030335,0.040533,0.010687,0.010501,0.019268,0.018366,0.019438,0.019555,0.020122,0.018142,0.016903,0.025390,0.014163,0.014152,0.015110,0.014966,0.016223,0.015945,0.022486,0.016733,0.008140,0.040605,0.040605,0.034677,0.032320,0.042279,0.000521,0.000166,0.000000,0.042280,0.042280
DHC117_Aerodramus_maximus,0.120321,0.136226,0.100310,0.090120,0.091045,0.020954,0.042218,0.043932,0.046157,0.043631,0.007467,0.045148,0.044579,0.044983,0.044981,0.043317,0.044536,0.048469,0.044819,0.044401,0.054076,0.051518,0.044285,0.049513,0.048910,0.046477,0.047648,0.042641,0.045722,0.049677,0.039407,0.006191,0.044641,0.044455,0.053222,0.052320,0.053392,0.053509,0.054076,0.052096,0.050857,0.059344,0.048117,0.048106,0.049064,0.048920,0.050177,0.049899,0.056440,0.050687,0.047014,0.049677,0.049677,0.043749,0.041392,0.007937,0.042469,0.042114,0.042280,0.000000,0.007938
DHC120_Aerodramus_maximus,0.120321,0.136226,0.100310,0.090120,0.091045,0.020954,0.042218,0.043932,0.046157,0.043631,0.007467,0.045148,0.044579,0.044983,0.044981,0.043317,0.044536,0.048469,0.044819,0.044401,0.054076,0.051518,0.044285,0.049513,0.048910,0.046477,0.047648,0.042641,0.045722,0.049677,0.039407,0.006191,0.044641,0.044455,0.053222,0.052320,0.053392,0.053509,0.054076,0.052096,0.050857,0.059344,0.048117,0.048106,0.049064,0.048920,0.050177,0.049899,0.056440,0.050687,0.047014,0.049677,0.049677,0.043749,0.041392,0.007937,0.042469,0.042114,0.042280,0.007938,0.000000
